Date,Region,TV_Spend,SocialMedia_Spend,GoogleAds_Spend,Influencer_Spend,Email_Spend,Total_Sales
2023-01-01,North,65795,43665,46784,30274,10774,617171
2023-01-01,South,50860,19277,34605,32399,6766,438377
2023-01-01,East,126820,52239,37463,36481,6633,788454
2023-01-01,West,104886,57664,28419,5944,3821,629799
2023-01-01,Central,56265,58008,67952,33457,3185,696821
2023-01-02,North,132386,24683,77492,14114,14717,784411
2023-01-02,South,87194,10670,53837,23130,3637,544671
2023-01-02,East,137498,33675,25263,17312,9236,598694
2023-01-02,West,94131,27889,68877,37596,12372,733306
2023-01-02,Central,110263,54535,60719,14751,10380,771671
2023-01-03,North,66023,23006,65687,11907,3746,544349
2023-01-03,South,91090,58536,54131,33114,14018,802172
2023-01-03,East,117221,36531,57276,30009,7797,746604
2023-01-03,West,114820,31639,54523,24310,10089,713649
2023-01-03,Central,50769,26633,20519,23996,4620,364037
2023-01-04,North,109735,44660,74615,11047,14137,771512
2023-01-04,South,112955,13439,51106,33767,12518,672105
2023-01-04,East,114925,42172,64504,21347,9597,723671
2023-01-04,West,117969,45622,30514,29102,10002,659206
2023-01-04,Central,55311,21577,67456,9263,8107,534185
2023-01-05,North,133104,21763,27233,6902,11376,565543
2023-01-05,South,103707,30176,21102,35823,4793,544202
2023-01-05,East,135305,54386,20597,35540,13138,727255
2023-01-05,West,78693,34255,66715,15190,4500,581130
2023-01-05,Central,121932,51003,39657,32690,10361,751535
2023-01-06,North,143016,29996,65009,7994,6925,774598
2023-01-06,South,75658,45386,58549,7010,12937,635980
2023-01-06,East,134478,31062,63565,12377,3080,758481
2023-01-06,West,68431,45931,26256,18036,11455,510469
2023-01-06,Central,52747,45710,76410,31467,6864,721664
2023-01-07,North,109150,44693,63148,5048,6453,686334
2023-01-07,South,115725,45740,49401,21038,4248,695828
2023-01-07,East,134654,21705,61548,37576,14100,830470
2023-01-07,West,85773,53408,26554,12878,3325,538364
2023-01-07,Central,117435,38047,32664,32609,13369,643349
2023-01-08,North,106886,20966,62367,29070,5873,717403
2023-01-08,South,116803,27374,68279,26996,12340,762014
2023-01-08,East,81551,21138,44386,23161,3688,519932
2023-01-08,West,61394,25935,24846,7228,4985,385520
2023-01-08,Central,119092,55913,46205,31365,4076,785099
2023-01-09,North,53890,10489,45570,30188,11721,458434
2023-01-09,South,91606,54516,50255,13888,3461,645971
2023-01-09,East,146276,32260,41182,28130,11594,730672
2023-01-09,West,130038,36069,59373,23790,2072,740564
2023-01-09,Central,137313,29275,63019,29824,14541,756794
2023-01-10,North,60627,46284,36043,38405,14226,577181
